Dia,Arthur,Brunna,Bárbara,DG,Eliezer,Eslovênia,Gustavo,Jade,Jessi,Larissa,Laís,Linn,Lucas,Luciano,Maria,Naiara,Nát,PA,Rodrigo,Scooby,Tiago,Viny
1,2,1,2,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,3,1,0
2,3,1,2,1,1,1,0,2,1,0,0,2,1,0,1,2,1,1,1,4,3,1
3,4,4,5,1,3,6,0,3,2,0,4,3,1,0,2,6,8,1,5,10,6,3
4,6,5,8,3,7,10,0,5,3,0,7,6,5,2,4,11,16,3,13,13,9,9
5,10,6,10,3,8,11,0,12,4,0,7,13,8,2,4,12,18,3,14,15,9,11
6,11,7,11,4,9,12,0,15,4,0,8,15,9,2,6,13,18,6,19,17,10,12
7,12,11,11,9,12,14,0,16,6,0,10,17,9,3,6,18,18,7,27,18,10,13
8,14,11,12,11,14,15,0,17,7,0,11,17,13,3,8,19,25,10,32,20,10,13
9,15,12,15,15,16,15,0,18,7,0,13,18,14,9,11,27,32,10,34,23,11,13
10,15,13,16,17,17,18,0,23,11,0,14,20,16,12,12,30,35,11,37,26,14,14
11,15,15,21,19,20,25,0,33,11,0,17,20,18,24,15,33,38,12,49,27,14,15
12,17,17,24,21,22,34,0,33,12,0,17,22,27,24,17,36,45,12,53,27,15,16
13,19,19,25,23,25,42,0,37,12,0,18,23,31,24,18,38,48,12,65,29,24,20
14,20,23,25,24,29,44,0,42,13,0,20,28,32,24,25,40,51,15,75,31,32,23
15,28,24,28,25,33,46,0,45,14,0,22,30,38,24,27,41,53,15,90,34,33,26
16,31,24,30,30,36,49,0,47,23,0,22,35,40,24,28,45,65,18,101,39,36,26
17,41,25,33,33,37,51,0,51,28,0,22,37,42,24,35,53,71,19,113,42,42,27
18,45,30,35,35,44,52,0,54,34,0,22,38,42,24,41,57,74,20,123,45,48,29
19,51,31,36,40,59,53,0,59,40,0,28,43,44,24,56,61,77,23,124,47,55,33
20,61,31,36,40,62,53,0,72,45,0,31,48,45,24,63,75,77,24,125,48,62,36
21,67,32,38,40,64,54,0,75,46,0,31,53,47,24,68,77,78,28,125,51,66,36
22,70,33,41,44,65,54,0,78,52,0,33,56,48,24,73,80,81,30,127,51,72,36
23,78,34,45,49,69,54,0,85,53,0,36,56,50,24,75,84,85,32,130,54,73,37
24,88,34,46,55,74,54,0,92,58,0,36,59,51,24,76,86,89,33,131,58,75,37
25,100,35,47,57,83,55,0,99,62,0,36,60,53,24,81,94,91,34,131,61,79,38
26,105,36,50,62,98,56,2,104,67,3,40,63,54,24,86,95,101,37,132,68,81,39
27,110,38,54,64,102,60,15,119,67,21,42,64,54,24,88,96,105,39,132,69,83,40
28,115,39,54,65,103,62,20,132,74,26,42,68,59,24,89,96,114,50,134,73,88,41
29,123,40,56,66,104,64,22,141,74,29,43,70,60,24,91,97,115,57,134,77,88,41
30,131,40,65,66,106,65,28,148,74,36,49,72,61,24,93,98,120,60,134,80,89,42
31,135,41,73,66,110,66,33,157,75,38,53,73,61,24,111,98,137,64,135,84,91,45
32,142,42,82,67,115,66,43,171,76,47,58,74,61,24,117,99,142,69,136,90,92,46
33,145,42,84,70,128,69,48,181,78,47,65,76,61,24,120,99,154,73,137,95,92,53
34,154,44,86,72,141,70,53,192,81,49,70,79,77,25,123,99,164,76,137,97,93,59
35,165,50,88,73,145,71,58,195,84,55,73,82,79,25,123,99,168,76,138,100,94,60
36,171,54,89,77,152,72,60,200,86,59,75,85,82,25,124,100,169,82,139,102,95,62
37,174,59,89,81,159,74,67,201,91,60,80,86,85,25,124,101,170,89,140,104,99,64
38,183,61,89,82,161,76,70,204,96,62,82,88,86,25,124,101,175,90,140,109,101,68
39,188,75,90,82,169,77,73,212,97,63,86,91,93,25,125,101,180,97,140,111,102,72
40,194,77,91,84,176,83,77,216,101,66,88,99,101,26,126,101,186,102,140,116,104,73
41,203,79,91,87,181,83,80,223,102,69,94,108,106,26,126,102,191,106,140,121,112,75
42,212,80,91,96,187,86,82,227,104,73,98,112,108,26,128,102,194,113,140,124,118,79
43,218,80,91,101,189,87,87,230,106,81,98,117,109,26,128,102,195,116,140,125,133,80
44,227,80,91,103,192,89,88,233,107,87,100,120,112,26,129,103,195,117,140,126,138,83
45,231,80,91,103,197,90,92,239,108,95,101,124,113,26,129,104,196,121,140,128,138,87
46,236,80,91,105,205,91,96,244,112,105,104,128,115,26,129,105,202,127,141,134,140,90
47,245,80,91,107,209,94,99,255,114,106,112,129,118,26,130,105,206,139,143,140,140,94
48,252,80,92,109,213,97,103,262,117,109,113,132,122,26,130,105,207,145,143,152,140,98
49,258,80,92,110,223,98,106,265,122,109,117,137,123,26,130,105,216,148,143,158,140,98
50,276,80,92,112,229,101,109,281,123,109,120,141,125,26,131,106,221,151,143,160,140,100
51,283,80,92,112,231,103,121,285,129,109,126,143,126,26,131,106,225,154,143,167,140,100
52,290,80,92,113,236,103,125,293,132,110,130,144,128,26,132,106,227,155,143,168,140,101
53,300,80,92,113,246,106,130,316,135,111,133,146,131,26,132,106,232,160,144,172,140,102
54,310,80,92,113,250,110,130,324,138,112,134,146,136,26,133,107,234,164,144,177,140,106
55,317,80,92,114,257,113,136,328,140,112,137,152,139,26,133,107,241,168,144,185,140,112
56,324,81,93,117,263,117,142,331,146,112,138,153,146,26,133,107,242,172,144,190,141,114
57,332,81,93,119,271,119,146,332,147,112,140,160,151,26,133,107,244,181,144,191,141,117
58,337,81,93,122,275,119,149,334,148,112,141,161,157,26,133,107,244,185,144,196,141,122
59,343,81,93,123,278,121,151,335,148,112,142,163,165,26,133,108,246,187,144,202,141,124
60,349,82,93,124,284,124,153,336,148,112,146,166,169,26,134,108,248,191,144,208,141,134
61,354,83,93,124,292,126,156,337,156,112,149,180,172,26,134,108,261,192,145,209,142,135
62,362,83,93,127,298,130,163,340,157,114,154,184,177,26,134,111,266,193,146,212,142,136
63,368,83,94,129,301,132,166,340,158,114,160,191,183,26,134,111,269,197,146,216,142,136
64,373,83,94,129,304,135,172,341,159,114,161,195,190,26,134,111,272,199,146,220,142,136
65,380,83,94,132,316,140,177,342,159,114,169,197,191,26,134,111,274,199,146,222,142,136
66,391,83,94,132,317,141,179,345,164,114,173,200,194,26,134,111,274,203,146,224,142,137
67,397,83,95,132,322,145,189,345,165,115,186,202,197,26,134,112,275,208,146,226,142,137
68,405,83,95,134,325,145,196,345,167,115,191,205,199,26,134,112,278,212,147,232,142,137
69,408,83,95,134,325,146,200,347,170,115,193,209,202,26,134,112,283,216,149,235,142,138
70,416,84,95,135,325,148,202,350,172,115,193,216,204,26,134,112,287,219,149,239,142,139
71,420,84,95,140,331,150,206,350,174,115,193,226,204,26,134,112,294,221,149,241,142,139
72,421,84,95,141,335,154,207,350,177,115,193,230,212,26,134,112,302,226,149,244,142,139
73,426,84,95,143,337,156,209,351,177,115,194,234,215,26,134,112,305,231,149,245,142,139
74,429,84,95,143,338,162,209,351,179,115,195,243,221,27,134,112,308,231,151,247,143,139
75,429,84,95,144,341,166,212,353,180,115,197,246,224,27,134,112,309,236,153,249,143,139
76,434,84,95,146,343,170,216,353,184,115,198,247,225,27,134,112,311,240,161,251,143,139
77,439,84,95,151,344,174,220,353,186,115,200,248,227,27,134,112,317,246,162,255,143,140
78,443,84,95,156,346,175,225,353,188,115,201,254,227,27,134,112,327,248,163,258,143,141
79,446,84,96,157,349,186,232,353,189,116,203,257,228,27,134,112,332,251,166,263,143,141
80,448,84,96,157,353,187,235,353,194,116,203,261,228,27,135,112,337,252,167,265,143,141
81,467,85,96,161,358,187,239,353,198,116,204,264,228,27,136,114,339,253,170,268,143,143
82,486,85,96,169,361,189,241,354,200,116,204,269,228,28,136,115,345,261,170,274,143,143
83,488,85,96,170,364,190,243,354,202,116,204,271,229,28,138,115,346,261,170,275,143,144
84,489,85,96,170,379,190,245,356,206,116,204,272,229,28,138,115,365,264,170,278,143,144
85,497,85,96,173,399,190,248,356,219,116,205,274,229,28,140,115,386,268,171,287,143,145
86,505,85,96,175,403,191,250,356,227,116,205,275,230,28,141,115,386,273,171,296,143,145
87,514,85,96,177,413,192,257,357,237,117,205,281,231,28,141,115,387,275,172,299,143,145
88,531,85,96,186,418,192,264,358,245,117,205,282,231,28,141,115,389,279,173,302,143,145
89,541,85,96,191,422,193,273,358,256,117,205,283,233,28,141,115,390,288,175,307,143,145
90,554,85,96,194,431,193,278,358,270,119,205,284,233,28,141,115,391,293,176,320,143,145
91,562,85,96,198,439,194,286,360,271,119,207,285,234,28,142,117,391,297,177,323,143,145
92,579,85,96,204,452,196,302,360,272,119,210,285,234,28,142,117,391,307,178,334,143,145
93,585,85,96,205,455,197,306,360,273,120,211,285,235,28,142,117,392,309,178,339,143,146
94,594,85,96,208,464,197,310,360,273,120,213,285,235,28,142,117,393,318,178,355,143,146
95,603,87,96,211,467,199,312,360,273,120,215,285,236,28,142,117,397,323,179,356,143,147
96,612,87,96,217,471,199,312,361,274,120,215,288,237,28,144,117,399,327,179,359,144,147
97,622,87,96,224,481,200,312,361,275,120,215,288,238,28,145,117,401,335,181,360,144,148
98,624,87,97,226,485,201,314,361,277,120,216,291,238,28,147,120,402,338,182,362,144,149
